Englisches Kurzhaarmeerschwein, 5
Schopmeerschweinchen (Crested), 4
Satin, 6
Holländer, 4
Schildpatt, 5
Russe, 4
Rosettenmeerschwein, 6
Englischer Rex, 6
Teddy, 6
Peruaner, 4
Angora, 5
Sheltie, 4
Coronet, 4
Texel, 5
Alpaka, 5
Merino, 4
